FID;GEBIED;GEBOMSCH;LOCATIE;LOCOMSCH;X_WGS;Y_WGS;X_RD;Y_RD;Bron
0;AA;Aa;INWATAA03;Schijndelseloop 't Woud (AA03);5.40454983112;51.6584214868;156170;407630;DONAR_RD
1;AA;Aa;INWATAA04A;Aflaat Schijndel (AA04A);5.50843313122;51.6219255392;163364;403577;DONAR_RD
2;AA;Aa;INWATAA06;Biezenloop (AA06);5.60654723599;51.5608422073;170178;396798;DONAR_RD
3;AA;Aa;INWATAA07;Beek en Donk Spuiduiker AA07);5.62519161929;51.5462425026;171476;395178;DONAR_RD
4;AA;Aa;INWATAA09;Scheveningseloop (AA09);5.65270368757;51.5046148815;173401;390554;DONAR_RD
5;AA;Aa;INWATAA19;Donkersvoortseloop (AA19);5.56274750612;51.512785258;167154;391444;DONAR_RD
6;AA;Aa;INWATAA21;WHK-Goorloop (AA21);5.61338254261;51.5141996447;170668;391611;DONAR_RD
7;AA;Aa;INWATAA23A;EHK-Goorloop inlaat (AA23A);5.65686187459;51.4575530345;173709;385320;DONAR_RD
8;AA;Aa;INWATAA23B;EHK-Goorloop pomp (AA23B);5.65686547206;51.4575530262;173709.25;385320;DONAR_RD
9;AA;Aa;INWATAA24;Visvijver (AA24);5.63986594242;51.5326552758;172499;393670;DONAR_RD
10;AA;Aa;INWATAA25A;Gulden Aa (AA25A);5.65267125961;51.491633778;173404;389110;DONAR_RD
11;AA;Aa;INWATAA25B;Gulden Aa (AA25B);5.65267485978;51.4916337698;173404.25;389110;DONAR_RD
12;AA;Aa;INWATAA26;De Vries (AA26);5.65253752615;51.4884517135;173396;388756;DONAR_RD
13;AA;Aa;INWATAA27;Eijkenlust (AA27);5.64090487858;51.5328597915;172571;393693;DONAR_RD
14;AA;Aa;INWATAA28;EHK-Schotenseloop (AA28);5.60814049616;51.4493307613;170326;384394;DONAR_RD
15;AFGDDMS;Afgedamde Maas;ANDMS;Andel Maas;5.05071482871;51.7950288745;131760;422880;DONAR_RD
16;AFGDDMS;Afgedamde Maas;DEHGWCPBSD;De Hooge Waard, camping badstrand;5.08269359271;51.7804724632;133959;421251;DONAR_RD
17;AFGDDMS;Afgedamde Maas;DENWDNBSD;De Neswaarden, badstrand (Esmeer);5.11583857674;51.7901637406;136250;422320;DONAR_RD
18;AFGDDMS;Afgedamde Maas;DERSCPBSD;De Rietschoof, camping badstrand;5.13041467413;51.7761280515;137250;420755;DONAR_RD
19;AFGDDMS;Afgedamde Maas;NEDHMNZPT;Nederhemert noord zandplaat (Arkenswaard;5.14645392243;51.757688699;138350;418700;DONAR_RD
20;AFGDDMS;Afgedamde Maas;NEDHMT;Nederhemert (Afgedamde Maas);5.15875973642;51.7590617974;139200;418850;DONAR_RD
