AquoMetadata_MessageID;Parameter_Wat_Omschrijving;Eenheid.Code;Eenheid.Omschrijving;Grootheid.Code;Grootheid.Omschrijving;Hoedanigheid.Code;Hoedanigheid.Omschrijving;Parameter.Code;Parameter.Omschrijving;parametergroep
102;Aantal per volume Escherichia coli in Oppervlaktewater n/l;n/l;exemplaren per liter;AANTPVLME;Aantal per volume;NVT;Niet van toepassing;E_COLI;Escherichia coli;bacteria
101;Aantal per volume Faecale Streptococcen D in Oppervlaktewater n/l;n/l;exemplaren per liter;AANTPVLME;Aantal per volume;NVT;Niet van toepassing;FAECLSTCCND;Faecale Streptococcen D;bacteria
332;Aantal per volume Intestinale enterococcen in Oppervlaktewater n/l;n/l;exemplaren per liter;AANTPVLME;Aantal per volume;NVT;Niet van toepassing;INTTNLETRCCN;Intestinale enterococcen;bacteria
397;Aantal per volume Thermotolerante Coli's (incubatie bij 44 C) in Oppervlaktewater n/l;n/l;exemplaren per liter;AANTPVLME;Aantal per volume;NVT;Niet van toepassing;THERMTLRTCLS;Thermotolerante Coli's (incubatie bij 44 C);bacteria
206;Aantal per volume Totaal Coli's (incubatie bij 37 C) in Oppervlaktewater n/l;n/l;exemplaren per liter;AANTPVLME;Aantal per volume;NVT;Niet van toepassing;TOTCLS;Totaal Coli's (incubatie bij 37 C);bacteria
148;Aantal golven in 20 minuten periode Oppervlaktewater ;NVT;Waarde is niet van toepassing;AG;Aantal golven in 20 minuten periode;NVT;Niet van toepassing;NVT;Waarde is niet van toepassing;physics
446;Aantal vrijheidsgraden bij het variantiedichtheidspectrum Oppervlaktewater ;DIMSLS;dimensieloos;AV10_H;Aantal vrijheidsgraden bij het variantiedichtheidspectrum;NVT;Niet van toepassing;NVT;Waarde is niet van toepassing;physics
385;Aantal vrijheidsgraden behorend bij het golfrichtingspectrum Oppervlaktewater ;DIMSLS;dimensieloos;AV10_R;Aantal vrijheidsgraden behorend bij het golfrichtingspectrum;NVT;Niet van toepassing;NVT;Waarde is niet van toepassing;physics
229;(massa)Concentratie 1,1,1-trichloorethaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;111TClC2a;1,1,1-trichloorethaan;contaminants
67;(massa)Concentratie 1,1,2,2-tetrachloorethaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;1122T4ClC2a;1,1,2,2-tetrachloorethaan;contaminants
303;(massa)Concentratie 1,1,2-trichloorethaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;112TClC2a;1,1,2-trichloorethaan;contaminants
28;(massa)Concentratie 1,1-dichloorethaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;11DClC2a;1,1-dichloorethaan;contaminants
427;(massa)Concentratie 1,1-dichlooretheen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;11DClC2e;1,1-dichlooretheen;contaminants
226;(massa)Concentratie 1,2,3-trichloorbenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;123TClBen;1,2,3-trichloorbenzeen;contaminants
364;(massa)Concentratie 1,2,4,5-tetrachloorbenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;1245T4ClBen;1,2,4,5-tetrachloorbenzeen;contaminants
416;(massa)Concentratie 1,2,4-trichloorbenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;124TClBen;1,2,4-trichloorbenzeen;contaminants
125;(massa)Concentratie 1,2-dichloorbenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;12DClBen;1,2-dichloorbenzeen;contaminants
24;(massa)Concentratie 1,2-dichloorethaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;12DClC2a;1,2-dichloorethaan;contaminants
365;(massa)Concentratie 1,2-dichloorpropaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;12DClC3a;1,2-dichloorpropaan;contaminants
395;(massa)Concentratie 1,2-xyleen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;12xyln;1,2-xyleen;contaminants
396;(massa)Concentratie 1,3,5-trichloorbenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;135TClBen;1,3,5-trichloorbenzeen;contaminants
12;(massa)Concentratie 1,3-dichloor-2-propanol in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;13DCl2C3ol;1,3-dichloor-2-propanol;contaminants
119;(massa)Concentratie 1,3-dichloorbenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;13DClBen;1,3-dichloorbenzeen;contaminants
14;(massa)Concentratie 1,4-dichloorbenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;14DClBen;1,4-dichloorbenzeen;contaminants
295;(massa)Concentratie 1-chloor-2-nitrobenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;1Cl2NO2Ben;1-chloor-2-nitrobenzeen;contaminants
70;(massa)Concentratie 1-chloornaftaleen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;1ClNaf;1-chloornaftaleen;contaminants
353;(massa)Concentratie 2,3-dichloornitrobenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;23DClNO2Ben;2,3-dichloornitrobenzeen;contaminants
205;(massa)Concentratie 2,4,5-trichloorfenoxyazijnzuur in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;245T;2,4,5-trichloorfenoxyazijnzuur;contaminants
286;(massa)Concentratie 2,4,5-trichloorfenol in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;245TClFol;2,4,5-trichloorfenol;contaminants
15;(massa)Concentratie 2,4,6-trichloorfenol in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;246TClFol;2,4,6-trichloorfenol;contaminants
4;(massa)Concentratie 2,4-dichloorfenoxyazijnzuur in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;24D;2,4-dichloorfenoxyazijnzuur;contaminants
121;(massa)Concentratie 2,4'-dichloordifenyltrichloorethaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;24DDT;2,4'-dichloordifenyltrichloorethaan;contaminants
59;(massa)Concentratie 2,4-dichloorfenoxypropionzuur in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;24DP;2,4-dichloorfenoxypropionzuur;contaminants
77;(massa)Concentratie 2-chlooraniline in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;2ClAn;2-chlooraniline;contaminants
69;(massa)Concentratie 2-chloorethanol in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;2ClC2ol;2-chloorethanol;contaminants
103;(massa)Concentratie 2-chloorfenol in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;2ClFol;2-chloorfenol;contaminants
287;(massa)Concentratie 2-chloortolueen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;2ClTol;2-chloortolueen;contaminants
371;(massa)Concentratie 3,4-dichloornitrobenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;34DClNO2Ben;3,4-dichloornitrobenzeen;contaminants
110;(massa)Concentratie 3-chloor-4-methylaniline in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;3Cl4C1yAn;3-chloor-4-methylaniline;contaminants
354;(massa)Concentratie 3-chlooraniline in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;3ClAn;3-chlooraniline;contaminants
405;(massa)Concentratie 3-chloorpropeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;3ClC3e;3-chloorpropeen;contaminants
104;(massa)Concentratie 3-chloorfenol in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;3ClFol;3-chloorfenol;contaminants
350;(massa)Concentratie 3-chloortolueen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;3ClTol;3-chloortolueen;contaminants
